group,common_name,taxon
ALGAE,green algae,Acrosiphonia sp.
ALGAE,sieve kelp,Agarum clathratum
ALGAE,fringed sea colander klep,Agarum fimbriatum
ALGAE,broad winged-kelp,Alaria marginata
ALGAE,beautiful leaf seaweed,Callophyllis sp.
ALGAE,crustose corallines,Clathromorphum spp.
ALGAE,spongy cushion,Codium setchellii
ALGAE,crustose corallines,Corallinophycideae spp.
ALGAE,five-ribber kelp,Costaria costata
ALGAE,thin acid kelp,Desmarestia sp.
ALGAE,rockweed,Fucus distichus evanescens
ALGAE,dense-clumped kelp,Laminaria sinclairi
ALGAE,bull kelp,Nereocystis luetkeana
ALGAE,prickly pear seaweed,Opuntiella californica
ALGAE,filamentous red algae,Pterothamnion spp.
ALGAE,brown kelp,Ralfsia sp.
ALGAE,red algae,red algae
ALGAE,sugar wrack kelp,Saccharina latissima
ALGAE,sea lettuce,Ulva sp.
ALGAE,filamentous red algae,Various spp.
ALGAE,rusty rock,Hildenbrandia spp.
ANNELIDA,twin-eyed feather-duster,Bispira spp.
ANNELIDA,parchment tubeworm,Chaetopterus sp.
ANNELIDA,Bamboo Worms,Chaetopteridae
ANNELIDA,orange feather-duster,Chone aurantiacea
ANNELIDA,ornate tubeworm,Diopatra ornata
ANNELIDA,roll-top feather duster worm,Eudistylia catharinae
ANNELIDA,eighteen-scaled worm,Halosydna brevisetosa
ANNELIDA,twin-eyed feather-duster,Megalomma sp.
ANNELIDA,slime-tube feather-duster,Myxicola infundibulum
ANNELIDA,parasol feather-duster,Parasabella media
ANNELIDA,Ice-cream cone worm,Pectinariidae
ANNELIDA,white-crowned calcareous tubeworm,Protula pacifica
ANNELIDA,,Pseudopotamilla
ANNELIDA,,Sebellida
ANNELIDA,red trumpet calcareous tubeworm,Serpula columbiana
ANNELIDA,calcerious tubeworm,Serpula spp.
ANNELIDA,Spirorbid worms,Spirorbis spp.
ANNELIDA,Spaghetti worm,Terabellida spp
ARTHROPODA,hairy-spined crab,Acantholithodes hispidus
ARTHROPODA,common acorn barnacle,Balanus glandula
ARTHROPODA,giant acorn barnacle,Balanus nubilus
ARTHROPODA,rostrate barnacle,Balanus rostratus
ARTHROPODA,red rock crab,Cancer productus
ARTHROPODA,longhorn decorator crab,Chorilia longipes
ARTHROPODA,butterfly crab,Cryptolithodes typicus
ARTHROPODA,orange hermit crab,Elassochirus gilli
ARTHROPODA,widehand hermit,Elassochirus tenuimanus
ARTHROPODA,tube-dwelling sea flea,Erichthonius rubricornis
ARTHROPODA,sponge eualid,Eualus butleri
ARTHROPODA,Townsend's eualid,Eualus townsendi
ARTHROPODA,,Heptacarpus spp.
ARTHROPODA,elegant coastal shrimp,Heptacarpus decorus
ARTHROPODA,Kincaid's shrimp,Heptacarpus kincaidi
ARTHROPODA,Pacific lyre crab,Hyas lyratus
ARTHROPODA,candy stripe shrimp,Lebbeus grandimanus
ARTHROPODA,brown box crab,Lopholithodes foraminatus
ARTHROPODA,Puget Sound king crab,Lopholithodes mandtii
ARTHROPODA,dungeness crab,Metacarcinus magister
ARTHROPODA,galatheid crab,Munida quadrispina
ARTHROPODA,slendor decorator grab,Oregonia gracilis
ARTHROPODA,backeyed hermit,Pagurus armatus
ARTHROPODA,Bering hermit,Pagurus beringanus
ARTHROPODA,hairy hermit,Pagurus hirsutiusculus
ARTHROPODA,granular hermit,Pagurus granosiminus
ARTHROPODA,coonstripe shrimp,Pandalus danae
ARTHROPODA,spiny pink shrimp,Pandalus eous
ARTHROPODA,heart crab,Phyllolithodes papillosus
ARTHROPODA,scaled crab,Placetron wosnessenskii
ARTHROPODA,Scaled Crab,Placetron wosnessenskii
ARTHROPODA,graceful decorator crab,Pugettia gracilis
ARTHROPODA,rhinoceros crab,Rhinolithodes wosnessenskii
